18禁	18禁 🔞
Mauritania	Mauritania 🇲🇷
Mauritius	Mauritius 🇲🇺
Melilla	Melilla 🇪🇦
Mexico	Mexico 🇲🇽
Moldova	Moldova 🇲🇩
Monaco	Monaco 🇲🇨
Mongolia	Mongolia 🇲🇳
Montenegro	Montenegro 🇲🇪
Morocco	Morocco 🇲🇦
Mozambique	Mozambique 🇲🇿
Myanmar	Myanmar 🇲🇲
NG	NG 🆖
NG按钮	NG按钮 🆖
NMSL	NMSL 🤬
Namibia	Namibia 🇳🇦
Nauru	Nauru 🇳🇷
Nepal	Nepal 🇳🇵
Netherlands	Netherlands 🇳🇱
Nicaragua	Nicaragua 🇳🇮
Niger	Niger 🇳🇪
Nigeria	Nigeria 🇳🇬
Norway	Norway 🇳🇴
O	O 🅾️
OK	OK ٩(•̤̀ᵕ•̤́๑)ᵒᵏᵎᵎᵎᵎ 🆗 👌 👍 🙆
OK手势	OK手势 🙆
OK按钮	OK按钮 🆗
OK绷	OK绷 🩹
Oman	Oman 🇴🇲
O型	O型 🅾️
O型血	O型血 🅾️
O血型	O血型 🅾️
Pakistan	Pakistan 🇵🇰
Panama	Panama 🇵🇦
Paraguay	Paraguay 🇵🇾
Pawn	Pawn ♙ 🩥 🩫
Peru	Peru 🇵🇪
Philippines	Philippines 🇵🇭
Poland	Poland 🇵🇱
Portugal	Portugal 🇵🇹
Python	Python 🐍
Qatar	Qatar 🇶🇦
Queen	Queen ♕ ♛ 🂭 🂽 🃍 🃝 🩡 🩧
Registered	Registered ®️
Romania	Romania 🇷🇴
Rook	Rook ♖ ♜ 🩢 🩨
Russia	Russia 🇷🇺
Rwanda	Rwanda 🇷🇼
SOS	SOS 🆘
SUV	SUV 🚙
Sahara	Sahara 🇪🇭
Samoa	Samoa 🇼🇸
Senegal	Senegal 🇸🇳
Serbia	Serbia 🇷🇸
Singapore	Singapore 🇸🇬
Slovakia	Slovakia 🇸🇰
Slovenia	Slovenia 🇸🇮
Somalia	Somalia 🇸🇴
Spain	Spain 🇪🇸
Sudan	Sudan 🇸🇩
Swaziland	Swaziland 🇸🇿
Sweden	Sweden 🇸🇪
Switzerland	Switzerland 🇨🇭
Syria	Syria 🇸🇾
TV	TV 📺
Tajikistan	Tajikistan 🇹🇯
Tanzania	Tanzania 🇹🇿
Thailand	Thailand 🇹🇭
Togo	Togo 🇹🇬
Tonga	Tonga 🇹🇴
Tunisia	Tunisia 🇹🇳
Turkey	Turkey 🇹🇷
Turkmenistan	Turkmenistan 🇹🇲
T恤	T恤 👕
T恤衫	T恤衫 👕
UFO	UFO 🛸
Uganda	Uganda 🇺🇬
Ukraine	Ukraine 🇺🇦
Uruguay	Uruguay 🇺🇾
Uzbekistan	Uzbekistan 🇺🇿
VS按钮	VS按钮 🆚
Vatican	Vatican 🇻🇦
Venezuela	Venezuela 🇻🇪
Vietnam	Vietnam 🇻🇳
Vs.	Vs. 🆚
WC	WC 🚾
Wi-Fi	Wi-Fi 🛜
WiFi	WiFi 🛜
X光	X光 🩻
X光片	X光片 🩻
X射线	X射线 🩻
Yemen	Yemen 🇾🇪
ZZZ	ZZZ 💤
Zambia	Zambia 🇿🇲
Zimbabwe	Zimbabwe 🇿🇼
[捂脸]	[捂脸] つ﹏⊂ 🫣
a	a ª ꬰ 🇦
abc	abc 🔤
abcd	abcd 🔡
acre	acre ㌈
action	action 🎬
alpha	alpha ㌁
ampere	ampere ㌂
angry	angry 💢 😠 😡
apartment	apartment ㌀
are	are ㌃
atom	atom ⚛️
b	b 🇧
baby	baby 👶 🚼
back	back 🔙
barrel	barrel ㌭
beta	beta ㌼
bikini	bikini 👙
bingo	bingo (o゜▽゜)o☆[BINGO!]
boom	boom 💣
bug	bug 🐛
building	building ㌱
bushel	bushel ㌴
bye	bye (ToT)/~~~ ヾ(￣▽￣)Bye~Bye~
c	c ©️ 🇨
calorie	calorie ㌍
carat	carat ㌌
case	case ㌜
cent	cent ㌣
centi	centi ㌢
centime	centime ㌠
clear	clear 🆑
cloud	cloud ☁️
cookie	cookie 🍪
cookies	cookies 🍪
cool	cool 🆒
coop	coop ㌞
cruzeiro	cruzeiro ㌚
curie	curie ㌒
cycle	cycle ㌟
d	d 🇩
dagger	dagger † ‡ 🗡️
deci	deci ㌥
dollar	dollar ㌦
dozen	dozen ㌤
e	e 🇪
email	email 📧
end	end 🔚
escudo	escudo ㌇
f	f 🇫
farad	farad ㌲
feet	feet ㌳
fight	fight ⚔️
franc	franc ㌵
free	free 🆓
g	g 🇬
gallon	gallon ㌎
gamma	gamma ㌏
giga	giga ㌐
gram	gram ㌘
gram_ton	gram_ton ㌙
guilder	guilder ㌓
guinea	guinea ㌑
h	h 🇭
hall	hall ㍁
hectare	hectare ㌶
heights	heights ㌪
hertz	hertz ㌹
hon	hon ㌿
horn	horn ㍂
i	i 🇮
inch	inch ㌅
info	info ℹ️ 🛈
information	information ℹ️ 🛈
inning	inning ㌄
j	j 🇯
joker	joker 🃏
k	k ㉿ 🇰
kilo	kilo ㌔
kilogram	kilogram ㌕
kilometer	kilometer ㌖
kilowatt	kilowatt ㌗
kiss	kiss 💋
knot	knot ㌋
koruna	koruna ㌝
krone	krone ㌛
l	l Ⱡ ⱡ Ɫ 🇱
link	link 🔗
lira	lira ㍒
liter	liter ㍑
love	love ♥️ 👩‍❤️‍👨 💓 💕
m	m 🇲
mach	mach ㍅
mansion	mansion ㍇
mark	mark ㍆
mega	mega ㍋
megaton	megaton ㍌
meter	meter ㍍
micro	micro ㍃
micron	micron ㍈
mile	mile ㍄
milli	milli ㍉
millibar	millibar ㍊
money	money 💰
n	n 🇳
nano	nano ㌨
new	new 🆕
no	no 🆖 🙅
o	o 🇴
ohm	ohm ㌊
on	on 🔛
orz	orz _|￣|○ ○|￣|_
ounce	ounce ㌉
p	p 🇵
page	page ㌻
panda	panda 🐼
parking	parking 🅿️
parts	parts ㌬
party	party 🥳
peace	peace ☮️
pence	pence ㌺
percent	percent ㌫
peso	peso ㌷
pfennig	pfennig ㌸
piastre	piastre ㌮
pico	pico ㌰
picul	picul ㌯
point	point ㌽
pound	pound ㍀
q	q 🇶
r	r 🇷
rem	rem ㍕
respect	respect 🫡
rocket	rocket 🚀
roentgen	roentgen ㍖
ruble	ruble ㍔
rupee	rupee ㍓
s	s 🇸
shilling	shilling ㌡
soon	soon 🔜
t	t 🇹
ton	ton ㌧
top	top 🔝
u	u 🇺
unbelievable	unbelievable 🫢
up	up 🆙
up按钮	up按钮 🆙
v	v 🇻
volt	volt ㌾
vs	vs 🆚
w	w 🇼
watt	watt ㍗
wireless	wireless 🛜
won	won ㌆
x	x 🇽 🩻
y	y 🇾
yard	yard ㍎
yuan	yuan ㍐
z	z 🇿
Åland	Åland 🇦🇽
㖿	㖿 (＾－＾)V
一	一 1️⃣ 🈩
一万	一万 🀇
一个	一个 ☝️
一二三四	一二三四 🔢
一只眼	一只眼 👁️
一只眼睛	一只眼睛 👁️
一壶	一壶 🫖
一壶茶	一壶茶 🫖
一孩家庭	一孩家庭 🧑‍🧑‍🧒
一家三口	一家三口 👨‍👩‍👦 👨‍👩‍👧
一家人	一家人 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
一家四口	一家四口 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
一支烟	一支烟 🚬
一月	一月 🌑
一条	一条 🀐
一条蛇	一条蛇 🐍
一条龙	一条龙 🐉
一杯	一杯 🥃
一杯奶	一杯奶 🥛
一杯奶茶	一杯奶茶 🧋
一杯酒	一杯酒 🥃
一次方	一次方 ¹
一滴	一滴 🌢 💧
一滴水	一滴水 🌢 💧
一点	一点 🕐 🤏
一点儿	一点儿 🤏
一点半	一点半 🕜
一点点	一点点 🤏
一点钟	一点钟 🕐
一百	一百 💯
一百分	一百分 💯
一筒	一筒 🀙
一箭穿心	一箭穿心 💘
一脸不悦	一脸不悦 🙁
一锅食物	一锅食物 🍲
七	七 7️⃣
七万	七万 🀍
七夕	七夕 🎋
七夕树	七夕树 🎋
七夕节	七夕节 🎋
七星瓢虫	七星瓢虫 🐞
七月	七月 🌗
七条	七条 🀖
七点	七点 🕖
七点半	七点半 🕢
七点钟	七点钟 🕖
七筒	七筒 🀟
万	万 🀇 🀈 🀉 🀊 🀋 🀌 🀍 🀎 🀏
万圣节	万圣节 🎃
万圣节前夕	万圣节前夕 🎃
万岁	万岁 ！*★,°*:.☆(￣▽￣)/$:*.°★*。 🙌
三	三 3️⃣ 🈪 🉁
三万	三万 🀉
三十	三十 〺
三叉戟	三叉戟 🔱
三口之家	三口之家 👨‍👩‍👦 👨‍👩‍👧
三叶草	三叶草 ☘️
三射线	三射线 🗦 🗧
三明治	三明治 🥪 🧆
三月	三月 🌓
三条	三条 🀒
三次方	三次方 ³
三点	三点 🕒
三点半	三点半 🕞
三点式	三点式 👙
三点钟	三点钟 🕒
三筒	三筒 🀛
三脚鸡	三脚鸡 🛺
三角	三角 ▲ △ ▼ 🔺 🔻 🛆
三角尺	三角尺 📐
三角形	三角形 🔺 🔻 🛆
三角旗	三角旗 🚩
三角板	三角板 📐
三角裤	三角裤 🩲
三蹦子	三蹦子 🛺
三轮摩托车	三轮摩托车 🛺
三轮车	三轮车 🛺
上	上 ↑ ⇈ ⇑ ⇡ ⇧ ⬆️ ㊤ 🆙 📈
上一个	上一个 ⏮️
上一首	上一首 ⏮️
上三角	上三角 🔼
上下	上下 ↕️
上下点头	上下点头 🙂‍↕️
上下箭头	上下箭头 ↕️
上升	上升 ⏫ 💹 📈
上弦	上弦 ☽ 🌓 🌛
上弦月	上弦月 ☽ 🌓 🌛
上映	上映 📽️
上标	上标 ² ³ ¹
上涨	上涨 📈
上班	上班 💼 🫩
上班族	上班族 🧑‍💼
上箭头	上箭头 ↑ ⬆️
上衣	上衣 👕
上边	上边 👆
上锁	上锁 🔒
上面	上面 👆
下	下 ↓ ⇊ ⇓ ⇣ ⇩ ⬇️ ㊦ 📉
下一个	下一个 ⏭️
下一首	下一首 ⏭️
下三角	下三角 🔽
下厨	下厨 🧑‍🍳
下大雨	下大雨 ⛈️
下弦	下弦 ☾ 🌗 🌜
下弦月	下弦月 ☾ 🌗 🌜
下水道	下水道 🕳️
下箭头	下箭头 ↓ ⬇️
下跌	下跌 📉
下跪	下跪 🧎 🧎‍➡️
下跪者	下跪者 🧎 🧎‍➡️
下边	下边 👇
下降	下降 ⏬ 📉
下雨	下雨 ☔ 🌧️
下雪	下雪 ❄️ 🌨️
下面	下面 👇
不	不 🆖 🙅
不丹	不丹 🇧🇹
不丹王国	不丹王国 🇧🇹
不关心	不关心 🤷
不准	不准 🚫
不可以	不可以 🙅
不同意	不同意 🙅
不听	不听 🙉
不好	不好 👎
不好意思	不好意思 🙇
不屑	不屑 (￣_,￣) 😒 😕 🫤
不开心	不开心 🙁
不强	不强 👎
不悦	不悦 🙁
不懂	不懂 (＠_＠;) ヾ(°ｰ°ヾ)^?啊咧？
不敢相信	不敢相信 🫢
不敢看	不敢看 🫣
不明白	不明白 🤔
不明飞行物	不明飞行物 🛸
不棒	不棒 👎
不死鸟	不死鸟 🐦‍🔥
不清楚	不清楚 🤷
不满	不满 ☹️ 🙁
不理解	不理解 🤔
不看	不看 🙈
不知道	不知道 🤷
不确定	不确定 🫤
不能说	不能说 🤐
不行	不行 🆖 🙅
不要说	不要说 🤐
不解	不解 ❓ ❔ 😕 😖 🤔 🤨 🥴
不许	不许 🚫
不说	不说 🙊 🤐 🤭
不错	不错 👍
不高兴	不高兴 😒 🙁
与我无关	与我无关 🤷
丑小鸭	丑小鸭 🦢
世界	世界 🃴 🗺️
世界和平	世界和平 ☮️
世界地图	世界地图 🗺️
丘比特	丘比特 💘
东	东 🀀
东京塔	东京塔 🗼
东京铁塔	东京铁塔 🗼
东帝汶	东帝汶 🇹🇱
东帝汶民主共和国	东帝汶民主共和国 🇹🇱
东正教	东正教 ☦️
东萨摩亚	东萨摩亚 🇦🇸
东风	东风 🀀
丝带	丝带 🎗️
丢垃圾	丢垃圾 🚮
丢脸	丢脸 🤦
两万	两万 🀈
两个	两个 ✌️
两性	两性 ♀️ ♂️ ⚢ ⚣ ⚤ ⚥ ⚦ ⚧️ ⚨ ⚩ ⚪ ⚫ ⚬ ⚭ ⚮ ⚯
两条	两条 🀑
两点	两点 🕑
两点半	两点半 🕝
两点钟	两点钟 🕑
两筒	两筒 🀚
两颗心	两颗心 💕
严禁	严禁 🈲 🚫
严肃	严肃 (･᷄ὢ･᷅)
丧尸	丧尸 🧟
个人电脑	个人电脑 💻
中	中 ㊥ 🀄 🈭
中东蔬菜球	中东蔬菜球 🧆
中华人民共和国	中华人民共和国 🇨🇳
中华民国	中华民国 🇹🇼
中国	中国 🇨🇳
中国帽	中国帽 👲
中国澳门	中国澳门 🇲🇴
中国澳门特别行政区	中国澳门特别行政区 🇲🇴
中国香港	中国香港 🇭🇰
中国香港特别行政区	中国香港特别行政区 🇭🇰
中国龙	中国龙 🐲
中性	中性 👱 🧑‍🦰 🧑‍🦱 🧑‍🦲 🧑‍🦳
中指	中指 🖕
中标	中标 ·
中秋	中秋 🎑
中秋佳节	中秋佳节 🎑
中秋节	中秋节 🎑
中立	中立 🩠 🩡 🩢 🩣 🩤 🩥 🩦 🩧 🩨 🩩 🩪 🩫
中等音量	中等音量 🔉
中药	中药 🌿
中非	中非 🇨🇫
中非共和国	中非共和国 🇨🇫
丰收饼	丰收饼 🥮
串	串 🍢
串串	串串 🍢
丸子	丸子 🧆
丹麦	丹麦 🇩🇰
主教	主教 ♗ ♝ 🩣 🩩
举中指	举中指 🖕
举双手	举双手 🙌
举手	举手 ✋ 🙋 🙌
举手礼	举手礼 🖖
举白旗	举白旗 🏳️
举起手	举起手 ✋
举起拳头	举起拳头 ✊
举起的手	举起的手 ✋
举重	举重 🏋️
举重运动员	举重运动员 🏋️
举黑旗	举黑旗 ⚑ 🏴
么么	么么 💋
么么哒	么么哒 💋
义体	义体 🦾 🦿
义气	义气 ヽ(￣ω￣(￣ω￣〃)ゝ
义肢	义肢 🦾 🦿
乌云蔽日	乌云蔽日 ⛅
乌克兰	乌克兰 🇺🇦
乌兹别克斯坦	乌兹别克斯坦 🇺🇿
乌兹别克斯坦共和国	乌兹别克斯坦共和国 🇺🇿
乌干达	乌干达 🇺🇬
乌干达共和国	乌干达共和国 🇺🇬
乌拉圭	乌拉圭 🇺🇾
乌拉圭东岸共和国	乌拉圭东岸共和国 🇺🇾
乌索普	乌索普 🤥
乌贼	乌贼 🦑
乌鸦	乌鸦 🐦‍⬛
乌龟	乌龟 🐢
乍得	乍得 🇹🇩
乍得共和国	乍得共和国 🇹🇩
乐谱	乐谱 🎼
乒乓球	乒乓球 🏓
乒乓球拍	乒乓球拍 🏓
乔装	乔装 🥸
乖	乖 o(*^＠^*)o
乖宝	乖宝 👶
乖宝宝	乖宝宝 👶
乘	乘 × ✖️ ❌ 🗴 🗶
乘以	乘以 ✖️
乘号	乘号 ✖️
乘雪橇	乘雪橇 🛷
九	九 9️⃣
九万	九万 🀏
九月	九月 🌙
九条	九条 🀘
九点	九点 🕘
九点半	九点半 🕤
九点钟	九点钟 🕘
九筒	九筒 🀡
也门	也门 🇾🇪
也门共和国	也门共和国 🇾🇪
书	书 📕 📖 📗 📘 📙 📚
书包	书包 🎒
书名号	书名号 « »
书呆子	书呆子 🤓
书呆子脸	书呆子脸 🤓
书本	书本 📕 📖 📚
书签	书签 📑 🔖
书签标签	书签标签 📑
书籍	书籍 📖 📚
乱讲	乱讲 🤥
乳液	乳液 🧴
乳液瓶	乳液瓶 🧴
乾	乾 ☰
二	二 2️⃣ 🈔 🉂
二十	二十 〹
二头肌	二头肌 💪
二孩家庭	二孩家庭 🧑‍🧑‍🧒‍🧒
二次方	二次方 ²
亏凸月	亏凸月 🌖
亏月	亏月 🌖
云	云 ༺ ༻ ☁️ ⛅ ⛈️ 🌣 🌤️ 🌥️ 🌦️ 🌧️ 🌨️ 🌩️
云中	云中 😶‍🌫️
云中的脸	云中的脸 😶‍🌫️
云彩	云彩 ༺ ༻ ☁️ ⛅ ⛈️ 🌣 🌤️ 🌥️ 🌦️ 🌧️ 🌨️ 🌩️
云朵	云朵 ☁️
五	五 5️⃣
五万	五万 🀋
五官	五官 👀 👁️ 👂 👃 👄 👅
五彩纸	五彩纸 🎊
五彩纸屑球	五彩纸屑球 🎊
五星红旗	五星红旗 🇨🇳
五月	五月 🌕
五条	五条 🀔
五点	五点 🕔
五点半	五点半 🕠
五点钟	五点钟 🕔
五筒	五筒 🀝
五线谱	五线谱 🎼
五菱	五菱 🚐
五菱宏光	五菱宏光 🚐
五行	五行 ㊋ ㊌ ㊍ ㊎ ㊏
五角星	五角星 ⭐
井	井 #️⃣
井号	井号 #️⃣
井号键	井号键 #️⃣
亚军	亚军 🥈
亚洲	亚洲 🌏
亚洲澳洲	亚洲澳洲 🌏
亚美尼亚	亚美尼亚 🇦🇲
亚美尼亚共和国	亚美尼亚共和国 🇦🇲
交	交 🈘
交叉手指	交叉手指 🤞
交叉旗	交叉旗 🎌
交叉的手指	交叉的手指 🤞
交叉箭头	交叉箭头 🔀
交通信号灯	交通信号灯 🚥 🚦
交通灯	交通灯 🚥 🚦
亮度	亮度 🔅 🔆
亮度低	亮度低 🔅
亮度高	亮度高 🔆
亲	亲 (*╯3╰) (*￣3)(ε￣*) o(*￣3￣)o （づ￣3￣）づ╭❤～ 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💋 💏 😗 😘 😙 😚 😽
亲一下	亲一下 😘
亲一个	亲一个 😘
亲亲	亲亲 😗 😘 😙 😚
亲亲猫	亲亲猫 😽
亲亲猫脸	亲亲猫脸 😽
亲亲的猫	亲亲的猫 😽
亲吻	亲吻 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💋 💏 😘 😚 🧑‍❤️‍💋‍🧑
亲嘴	亲嘴 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💋 💏 😘 🧑‍❤️‍💋‍🧑
人	人 🧍
人像	人像 👤 👥
人字拖	人字拖 🩴
人民币	人民币 ¥
人物剪影	人物剪影 👤
人猿	人猿 🦧
人的拥抱	人的拥抱 🫂
人造卫星	人造卫星 🛰️
人鱼	人鱼 🧜
什么	什么 (´◔‸◔`)？ (ﾟДﾟ≡ﾟДﾟ)？？？ Σ(っ°Д°;)っ？？？ ლ(°Д°ლ) 😕 😖 🤔 🥴
仓鼠	仓鼠 🐹
仓鼠头	仓鼠头 🐹
仓鼠脸	仓鼠脸 🐹
他	他 ╭(′•㉨•′)╭☞
仙人掌	仙人掌 🌵
仙女	仙女 🧚
仙桃	仙桃 🍑
仙贝	仙贝 🍘
代	代 ㈹
令和	令和 ㋿
以色列	以色列 🇮🇱
以色列国	以色列国 🇮🇱
价钱	价钱 💲
企	企 ㈽ ㊭
企鹅	企鹅 🐧
企鹅头	企鹅头 🐧
伊拉克	伊拉克 🇮🇶
伊拉克共和国	伊拉克共和国 🇮🇶
伊斯兰	伊斯兰 ☪️ 🕋 🕌 🤲 🧕
伊朗	伊朗 🇮🇷
伊朗伊斯兰共和国	伊朗伊斯兰共和国 🇮🇷
伏特	伏特 ㌾
休	休 ㉁ ㊡
休息	休息 ♨️ 🛌
休息室	休息室 🚻
休达	休达 🇪🇦
休达及梅利利亚	休达及梅利利亚 🇪🇦
休达和梅利利亚	休达和梅利利亚 🇪🇦
休闲车	休闲车 🚙
休闲鞋	休闲鞋 👟
优	优 ㊝
伞	伞 ☂️ ☔ ⛱️ 🌂 🏖️
伞兵	伞兵 🪂
伞状	伞状 ☂️
传呼机	传呼机 📟
传真	传真 📠
传真机	传真机 📠
伤心	伤心 (´-ι_-｀) (•̥́ˍ•̀ू) (︶^︶) (；′⌒`) (｡•́︿•̀｡) ᵕ᷄≀̠˘᷅ ☹️ ❤️‍🩹 💔 😔 😥 😩 😫 🫥
伦琴	伦琴 ㍖
伪装	伪装 🥸
伪装的脸	伪装的脸 🥸
伯利兹	伯利兹 🇧🇿
伸懒腰	伸懒腰 ٩(๑´0`๑)۶
伸手	伸手 🫴
伽马	伽马 ㌏
低亮度	低亮度 🔅
低头	低头 (。﹏。)
低头忧伤	低头忧伤 😔
低电量	低电量 🪫
低落	低落 😞
住口	住口 🙊 🤐 🤭 🫢
住宅	住宅 ⌂ 🏘️ 🏚️ 🏠 🏡 🛖
住宅楼	住宅楼 🏠
佐料	佐料 🧂
佐料瓶	佐料瓶 🧂
体操	体操 🤸
体温计	体温计 🤒
体育场	体育场 🏟️
体育馆	体育馆 🏟️
佛寺	佛寺 🛕
佛得角	佛得角 🇨🇻
佛得角共和国	佛得角共和国 🇨🇻
佛珠	佛珠 📿
佛系	佛系 😌
你好	你好 ヾ(´･ω･｀)ﾉ 👋 🙂
你妈死了	你妈死了 🤬
你自己	你自己 🫵
侦探	侦探 🕵️
侧手翻	侧手翻 🤸
便便	便便 💩
便利商店	便利商店 🏪
便利店	便利店 🏪
便士	便士 ㌺
便当	便当 🍱
便当盒	便当盒 🍱
便笺	便笺 📝
俄国	俄国 🇷🇺
俄罗斯	俄罗斯 ₽ 🇷🇺
俄罗斯套娃	俄罗斯套娃 🪆
俄罗斯联邦	俄罗斯联邦 🇷🇺
保加利亚	保加利亚 🇧🇬
保加利亚共和国	保加利亚共和国 🇧🇬
保密	保密 🤐
保险丝	保险丝 ⏛
保龄球	保龄球 🎳
保龄球瓶	保龄球瓶 🎳
信	信 ✉️ 💌 🖂
信件	信件 ✉️ 🖂
信使	信使 ☿
信号	信号 📶
信号强度	信号强度 📶
信号灯	信号灯 🚥 🚦
信封	信封 ✉️ 💌 🖂
信息	信息 ℹ️ 🛈
信用卡	信用卡 💳
信箱	信箱 📪 📫
俩叹号	俩叹号 ‼️
修理工	修理工 🧑‍🔧
倒	倒 🫗
倒三角	倒三角 🔻
倒吊人	倒吊人 🃫
倒垃圾	倒垃圾 🚮
倒脸	倒脸 🙃
倒退	倒退 ◀️
倒退按钮	倒退按钮 ◀️
倒霉	倒霉 😓
借记卡	借记卡 💳
倾倒	倾倒 🫗
倾倒液体	倾倒液体 🫗
假话	假话 🤥
做指甲	做指甲 💅
做梦	做梦 ZZzz…(。-ω-)..ooO((【•:*:~夢~:*:•】))
做美甲	做美甲 💅
做造型	做造型 💇
做饭	做饭 🍳 🧑‍🍳
停	停 ✋ 🛑
停止	停止 ⏹️ ✋ 🛑
